Stkcd,year,MA,Experience,Inside_Own,Insiders,Pay_Gap,Director_Pay,IO,Compensation,Female_Board,Gender_Diverse,Board_Size,Independence,Balance,Largest_Own,post2013,Tangibility,Leverage,Liquidity,Size,Asset_Growth,SA,Mean_Age,FCF,Adj_ROA,EBIT,ChairmanHoldsharesRatio,Growth,Productivity,Net_Loss,Ind_Leverage,CAPEX,R&D,StrategyKW,CompetitionKW
26,2025,0.0,1.0,0.2037781417602054,7.6923076923076925,12.923424514786936,15.174921784050376,42.2693,14.64572038891256,0.0,9.523809523809524,13.0,46.15384615384615,0.7080405213588801,40.1566,1.0,2.253252521121364,15.366642784948384,12.948957744820165,22.11148103133932,-4.68,-4.634736,49.38095238095238,151535989.621242,0.0591072043010752,7.715725241521451,0.0,-13.77,60369.91369589041,0.0,2.1344171363636346,2.166302046994181,56000000.18,6.0,5.0
50,2025,0.0,1.0,0.0015498337756891,16.666666666666664,13.508764585290267,15.087964102660406,66.7705,14.64855010717611,25.0,29.166666666666668,12.0,33.33333333333333,9.171489310699394,15.8523,1.0,4.635400295225365,64.08808262780016,7.666776837439923,25.120614064285657,-0.9,-4.476231,47.57142857142857,7726308398.891975,-0.0398793444055943,1.1551325591132555,0.0,3.79,-30620.04022187777,1.0,1.157242250460406,3.710173501808343,3347033683.76,53.0,2.0
62,2025,0.0,1.0,0.124971345707304,23.07692307692308,13.92798428606276,15.495090015240743,72.7447,14.78591061548546,7.6923076923076925,15.0,13.0,38.46153846153847,3.00006631857915,39.2047,1.0,1.4989592539508794,55.39723887169004,18.290822241936624,23.58827726046232,-1.11,-4.295729,51.55,33637646.245492,0.0223311170212765,2.991725818920062,0.06,6.6,130763.70756834531,0.0,1.4445624204545455,0.4242191397856436,126694064.04,42.0,3.0
63,2025,0.0,1.0,0.0169017542034331,8.333333333333332,14.361220583583766,17.07840326824925,53.2687,16.0978929436408,16.666666666666664,28.57142857142857,12.0,41.66666666666667,3.928199895472986,20.0905,1.0,13.803184042617897,64.73608770228016,21.167598054496835,26.057544909926605,3.17,-3.658081,52.71428571428572,24961543300.05347,0.0089336555944056,7.39087158951149,0.0,-2.38,122202.7495429616,0.0,1.157242250460406,1.936459315244124,25508900000.0,51.0,30.0
68,2025,0.0,1.0,0.0,0.0,12.359651733458474,13.96737290727352,44.6434,13.573566377186348,22.22222222222222,37.5,9.0,33.33333333333333,2.8567457424830134,26.4767,1.0,3.2309805567000063,73.71718747260509,3.502674954477705,22.12602422810784,-4.23,-4.235069,46.61904761904762,-104110067.801873,0.0090761170212765,2.473551579074114,0.0,9.62,27041.071603498545,0.0,1.4445624204545455,0.0496681582231784,14592601.27,30.0,2.0
99,2025,0.0,0.0,0.0,0.0,13.639171072847867,15.759991114209994,41.2032,14.74767463899472,13.333333333333334,13.636363636363637,15.0,33.33333333333333,0.9021968918784584,30.179,1.0,1.8884301820823928,23.143242449191128,20.759076662396826,22.679391909638586,12.26,-4.15424,51.19230769230769,149690339.657121,0.0091698571428571,18.725814104255164,0.0,9.83,262845.1731459656,0.0,1.737657090909091,2.333799258485204,3384158.95,29.0,7.0
156,2025,0.0,1.0,0.0,0.0,12.828368085118168,14.51414266875479,60.4867,13.848268122202446,25.0,28.000000000000004,12.0,33.33333333333333,3.069794738435631,24.1107,1.0,4.088815382306583,47.20037297023553,21.794313732066943,24.091763820261416,-0.84,-4.232739,51.58620689655172,-634397589.977436,0.0123390625,4.400113986889184,0.0,-3.22,46955.213837420924,0.0,0.95151925,4.256467872081528,644725768.59,40.0,1.0
423,2025,0.0,1.0,0.0001397689586692,0.0,14.18471117158831,15.352764799435104,70.4806,14.84666451142786,21.428571428571427,26.666666666666668,14.0,28.57142857142857,4.217672863117854,23.5027,1.0,4.00251171798403,21.053072617600645,38.31939151826936,23.29489565561017,-1.65,-4.362381,51.266666666666666,1776776712.951099,0.084922290102389,29.35893331529207,0.0,25.57,380261.79696703295,0.0,0.8489369783393497,0.7442372026965807,209941773.61,23.0,4.0
429,2025,0.0,1.0,0.0,0.0,10.174786145737386,14.56867040843039,71.4204,13.41159424984596,23.07692307692308,23.809523809523807,13.0,38.46153846153847,3.259796624760127,22.3036,1.0,1.5265330972139832,41.19914652763637,19.11545704120071,23.83418507327065,5.02,-4.307688,51.56,1781887232.900915,0.0630028214285714,63.46156065594957,0.0,-6.34,702375.6787074148,0.0,1.3395977037037037,9.075088793772156,7492700.07,16.0,0.0
534,2025,0.0,1.0,0.3612465158793868,50.0,11.803104417620595,14.282321596310846,49.2416,13.352363369515023,16.666666666666664,20.0,6.0,50.0,3.1410016458153303,23.0281,1.0,12.581419574080757,60.97491653956566,9.592478120040605,22.102102794678743,27.24,-4.434511,51.16666666666666,-437001544.346978,0.012938290102389,24.36194419836042,0.07,9.93,133578.152226199,0.0,0.8489369783393497,14.779537067520373,208724070.29,35.0,5.0
